address,square_feet,land_area,year_built,property_class,use_type,market_value
434 N ARMOUR,39252.0,34020.0,1931,597,retail/warehouse,5454065.4
310 N LEAVITT,6200.0,6250.0,1944,597,Warehouse,645846.25
2015 W CARROLL,173038.0,73680.0,1898,597,warehouse,16267699.8266563
2010 W FULTON,177382.0,83231.0,1899,597,office/warehouse,23492804.67125
2234 W WALNUT,45208.0,73464.0,1964,597,warehouse,4709260.85
1911 W LAKE,12500.0,12500.0,1927,597,office/warehouse,1949281.25
345 N LOOMIS,53949.0,16619.0,1909,597,office/warehouse,8855728.350000001
1604  16TH CHICAGO HEIGHTS,2190.0,21600.0,1963,5-22,Office/Warehouse,92846.99362499999
1901 E END CHICAGO HEIGHTS,8224.0,8400.0,1926,5-92,office/warehouse,348663.7788
29  SAUK SOUTH CHICAGO HEIGHTS,2091.0,4256.0,1968,5-22,Office/Warehouse,124907.976
3595  GLENWOOD DYER CHICAGO HEIGHTS,19300.0,188919.0,1967,8-33,Office/Warehouse,1212620.8763888902
15818  ALBANY MARKHAM,5777.0,19800.0,1954,"5-97, 5-90, 5-90, 5-97",Office/Warehouse,333988.196423292
15515  CRAWFORD MARKHAM,15847.0,93684.0,2009,5-33,Office/Warehouse,707949.1252792289
6140 W 167TH TINLEY PARK,1668.0,21849.0,1981,5-97,office/warehouse,179330.98668333297
16247  GEORGE BRENNAN TINLEY PARK,6093.0,39421.0,1977,"5-90, 5-97",office/warehouse,513924.76467500004
16350  CRAWFORD MARKHAM,3080.0,219542.0,1953,5-33,office/warehouse,724433.519555556
4020  165TH OAK FOREST,2726.0,20037.0,1971,5-22,office/warehouse,167198.878791
16621  HAMLIN MARKHAM,1574.0,29860.0,1967,5-33,office/warehouse,173912.613783944
16601  HAMLIN MARKHAM,9000.0,74440.0,2011,"8-33, 8-90, 5-33",office/warehouse,603794.2749999999
3853 W 163RD MARKHAM,3092.0,78494.0,1966,"5-33, 5-90",office/warehouse,297491.810922222
1034 W 21ST,5000.0,5022.0,1960,597,warehouse,372031.25
112  MAIN LEMONT,8862.0,9692.0,1985,5-92,Office/Warehouse,548185.8867843751
211 E ILLINOIS LEMONT,3400.0,2860.0,1904,5-92,Office/Warehouse,210968.44875
9404  47TH BROOKFIELD,5120.0,8496.0,1979,"5-92, 5-92, 5-90",Office/Warehouse,384075.17364705907
800 W PERSHING CHICAGO,26261.0,182912.0,1963,"6-63, 5-97",Industrial-Storage Warehouses,3495000.0
819 W 38TH CHICAGO,32800.0,126113.0,1926,"5-80, 5-80, 5-80, 5-80, 5-80, 5-80, 5-80, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-80, 5-80, 5-80, 5-93, 5-93, 5-93, 5-93, 5-80, 5-80, 5-80, 5-80",Industrial-Light Manufacturing,2714000.0
9630 S 76TH HICKORY HILLS,81030.0,181994.0,1998,5-92,office/warehouse,3335303.51672823
7715  88TH BRIDGEVIEW,3840.0,85060.0,1900,"5-90, 5-33, 5-90, 5-90",office/warehouse,485281.995294118
7725 W 98TH HICKORY HILLS,33708.0,92815.0,1920,5-92,office/warehouse,1358412.11432714
9701 S 78TH HICKORY HILLS,9320.0,65160.0,1977,"5-90, 5-92",office/warehouse,806013.718316471
9735  INDUSTRIAL BRIDGEVIEW,26000.0,92854.0,1979,5-92,office/warehouse,1458140.427
9731  125TH PALOS PARK,1413.0,62725.0,1920,5-97,office/warehouse,278576.60954117606
920 W PERSHING CHICAGO,34220.0,57399.0,1968,6-63,Industrial-Storage Warehouses,3768000.0
6545 N OLMSTED,7996.0,10155.0,1968,,WAREHOUSE,711430.773333333
